City,DeathRate,DoctorAvailability,HospitalAvailability,AnnualCapitalIncome,PopulationDensity
1,8.00,78,284,9.10,109
2,9.30,68,433,8.70,144
3,7.50,70,739,7.20,113
4,8.90,96,1792,8.90,97
5,10.20,74,477,8.30,206
6,8.30,111,362,10.90,124
7,8.80,77,671,10.00,152
8,8.80,168,636,9.10,162
9,10.70,82,329,8.70,150
10,11.70,89,634,7.60,134
11,8.50,149,631,10.80,292
12,8.30,60,257,9.50,108
13,8.20,96,284,8.80,111
14,7.90,83,603,9.50,182
15,10.30,130,686,8.70,129
16,7.40,145,345,11.20,158
17,9.60,112,1357,9.70,186
18,9.30,131,544,9.60,177
19,10.60,80,205,9.10,127
20,9.70,130,1264,9.20,179
21,11.60,140,688,8.30,80
22,8.10,154,354,8.40,103
23,9.80,118,1632,9.40,101
24,7.40,94,348,9.80,117
25,9.40,119,370,10.40,88
26,11.20,153,648,9.90,78
27,9.10,116,366,9.20,102
28,10.50,97,540,10.30,95
29,11.90,176,680,8.90,80
30,8.40,75,345,9.60,92
31,5.00,134,525,10.30,126
32,9.80,161,870,10.40,108
33,9.80,111,669,9.70,77
34,10.80,114,452,9.60,60
35,10.10,142,430,10.70,71
36,10.90,238,822,10.30,86
37,9.20,78,190,10.70,93
38,8.30,196,867,9.60,106
39,7.30,125,969,10.50,162
40,9.40,82,499,7.70,95
41,9.40,125,925,10.20,91
42,9.80,129,353,9.90,52
43,3.60,84,288,8.40,110
44,8.40,183,718,10.40,69
45,10.80,119,540,9.20,57
46,10.10,180,668,13.00,106
47,9.00,82,347,8.80,40
48,10.00,71,345,9.20,50
49,11.30,118,463,7.80,35
50,11.30,121,728,8.20,86
51,12.80,68,383,7.40,57
52,10.00,112,316,10.40,57
53,6.70,109,388,8.90,94
